name,year,month,infection,forest cover,population,area
Kauno m. sav.,2007,10,19,16.9,343932.0,157.0
Jonavos r. sav.,2007,10,1,41.9,49589.0,944.0
Kaišiadorių r. sav.,2007,10,1,31.5,35970.0,1087.0
Kauno r. sav.,2007,10,6,32.7,83346.0,1496.0
Kėdainių r. sav.,2007,10,0,25.6,59253.0,1677.0
Prienų r. sav.,2007,10,0,27.6,32421.0,1033.0
Raseinių r. sav.,2007,10,3,23.3,40996.0,1573.0
Klaipėdos apskritis,2007,10,14,26.5,360434.0,5222.0
Klaipėdos m. sav.,2007,10,11,20.6,175389.0,98.0
Palangos m. sav.,2007,10,1,39.9,16518.0,79.0
Klaipėdos r. sav.,2007,10,1,26.0,49293.0,1323.0
Kretingos r. sav.,2007,10,1,34.6,44187.0,989.0
Skuodo r. sav.,2007,10,0,19.8,22849.0,911.0
Šilutės r. sav.,2007,10,0,22.3,49994.0,1682.0
Marijampolės apskritis,2007,10,9,21.7,174810.0,4465.0
Marijampolės r. sav.,2007,10,3,,,
Šakių r. sav.,2007,10,1,22.9,35435.0,1454.0
Vilkaviškio r. sav.,2007,10,5,10.6,46239.0,1262.0
Panevėžio apskritis,2007,10,15,28.1,273701.0,7878.0
Panevėžio m. sav.,2007,10,9,2.7,108314.0,50.0
Biržų r. sav.,2007,10,0,27.6,31766.0,1476.0
Kupiškio r. sav.,2007,10,0,29.6,22509.0,1080.0
Panevėžio r. sav.,2007,10,5,35.1,41573.0,2177.0
Pasvalio r. sav.,2007,10,1,17.1,31230.0,1289.0
Rokiškio r. sav.,2007,10,0,28.0,38309.0,1806.0
Šiaulių apskritis,2007,10,8,27.3,335221.0,8537.0
Šiaulių m. sav.,2007,10,4,8.6,120272.0,82.0
Akmenės r. sav.,2007,10,0,32.4,26665.0,844.0
Joniškio r. sav.,2007,10,0,20.0,29083.0,1152.0
Kelmės r. sav.,2007,10,1,30.2,36488.0,1705.0
Radviliškio r. sav.,2007,10,0,25.3,47500.0,1634.0
Šiaulių r. sav.,2007,10,2,34.7,48624.0,1806.0
Tauragės apskritis,2007,10,9,33.0,121549.0,4408.0
Jurbarko r. sav.,2007,10,2,38.2,33692.0,1506.0
Šilalės r. sav.,2007,10,0,28.4,28930.0,1188.0
Tauragės r. sav.,2007,10,7,38.4,48119.0,1179.0
Telšių apskritis,2007,10,15,36.1,164963.0,4349.0
Mažeikių r. sav.,2007,10,5,29.5,62750.0,1220.0
Plungės r. sav.,2007,10,4,35.9,40961.0,1105.0
Telšių r. sav.,2007,10,6,34.7,51592.0,1439.0
Utenos apskritis,2007,10,9,32.8,167678.0,7191.0
Visagino sav.,2007,10,0,56.0,25897.0,58.0
Anykščių r. sav.,2007,10,1,30.6,31583.0,1764.0
Ignalinos r. sav.,2007,10,0,35.5,20368.0,1441.0
Molėtų r. sav.,2007,10,1,28.5,22671.0,1367.0
Utenos r. sav.,2007,10,7,31.8,46783.0,1230.0
Zarasų r. sav.,2007,10,0,37.2,20376.0,1331.0
Vilniaus apskritis,2007,10,58,42.0,828191.0,9730.0
Vilniaus m. sav.,2007,10,46,35.6,541732.0,400.0
Šalčininkų r. sav.,2007,10,2,46.3,36566.0,1493.0
Širvintų r. sav.,2007,10,1,30.6,18999.0,905.0
Švenčionių r. sav.,2007,10,2,55.9,30148.0,1691.0
Ukmergės r. sav.,2007,10,3,31.4,44350.0,1395.0
Vilniaus r. sav.,2007,10,4,39.6,93835.0,2129.0
Trakų r. sav.,2007,10,2,47.7,35907.0,1207.0
Alytaus apskritis,2007,11,0,49.1,173028.0,5418.0
Alytaus m. sav.,2007,11,0,31.8,66749.0,39.0
Druskininkų sav.,2007,11,0,69.2,23469.0,453.0
Alytaus r. sav.,2007,11,0,24.7,30281.0,1403.0
Lazdijų r. sav.,2007,11,0,34.9,24430.0,1306.0
Varėnos r. sav.,2007,11,0,69.1,28099.0,2216.0
Kauno apskritis,2007,11,30,29.6,650408.0,8087.0
Kauno m. sav.,2007,11,23,16.9,343932.0,157.0
Jonavos r. sav.,2007,11,1,41.9,49589.0,944.0
Kaišiadorių r. sav.,2007,11,2,31.5,35970.0,1087.0
Kauno r. sav.,2007,11,2,32.7,83346.0,1496.0
Kėdainių r. sav.,2007,11,0,25.6,59253.0,1677.0
Prienų r. sav.,2007,11,1,27.6,32421.0,1033.0
Raseinių r. sav.,2007,11,1,23.3,40996.0,1573.0
Klaipėdos apskritis,2007,11,10,26.5,360434.0,5222.0
Klaipėdos m. sav.,2007,11,8,20.6,175389.0,98.0
Palangos m. sav.,2007,11,1,39.9,16518.0,79.0
Klaipėdos r. sav.,2007,11,0,26.0,49293.0,1323.0
Kretingos r. sav.,2007,11,1,34.6,44187.0,989.0
Skuodo r. sav.,2007,11,0,19.8,22849.0,911.0
Šilutės r. sav.,2007,11,0,22.3,49994.0,1682.0
Marijampolės apskritis,2007,11,3,21.7,174810.0,4465.0
Marijampolės r. sav.,2007,11,3,,,
Šakių r. sav.,2007,11,0,22.9,35435.0,1454.0
Vilkaviškio r. sav.,2007,11,0,10.6,46239.0,1262.0
Panevėžio apskritis,2007,11,15,28.1,273701.0,7878.0
Panevėžio m. sav.,2007,11,9,2.7,108314.0,50.0
Biržų r. sav.,2007,11,1,27.6,31766.0,1476.0
Kupiškio r. sav.,2007,11,0,29.6,22509.0,1080.0
Panevėžio r. sav.,2007,11,2,35.1,41573.0,2177.0
Pasvalio r. sav.,2007,11,1,17.1,31230.0,1289.0
Rokiškio r. sav.,2007,11,2,28.0,38309.0,1806.0
Šiaulių apskritis,2007,11,13,27.3,335221.0,8537.0
Šiaulių m. sav.,2007,11,5,8.6,120272.0,82.0
Akmenės r. sav.,2007,11,3,32.4,26665.0,844.0
Joniškio r. sav.,2007,11,0,20.0,29083.0,1152.0
Kelmės r. sav.,2007,11,2,30.2,36488.0,1705.0
Radviliškio r. sav.,2007,11,0,25.3,47500.0,1634.0
Šiaulių r. sav.,2007,11,3,34.7,48624.0,1806.0
Tauragės apskritis,2007,11,6,33.0,121549.0,4408.0
Jurbarko r. sav.,2007,11,0,38.2,33692.0,1506.0
Šilalės r. sav.,2007,11,0,28.4,28930.0,1188.0
Tauragės r. sav.,2007,11,6,38.4,48119.0,1179.0
Telšių apskritis,2007,11,3,36.1,164963.0,4349.0
Mažeikių r. sav.,2007,11,0,29.5,62750.0,1220.0
Plungės r. sav.,2007,11,0,35.9,40961.0,1105.0
Telšių r. sav.,2007,11,3,34.7,51592.0,1439.0
Utenos apskritis,2007,11,2,32.8,167678.0,7191.0
Visagino sav.,2007,11,0,56.0,25897.0,58.0
Anykščių r. sav.,2007,11,1,30.6,31583.0,1764.0
Ignalinos r. sav.,2007,11,0,35.5,20368.0,1441.0
Molėtų r. sav.,2007,11,1,28.5,22671.0,1367.0
Utenos r. sav.,2007,11,0,31.8,46783.0,1230.0
Zarasų r. sav.,2007,11,0,37.2,20376.0,1331.0
Vilniaus apskritis,2007,11,36,42.0,828191.0,9730.0
Vilniaus m. sav.,2007,11,32,35.6,541732.0,400.0
Šalčininkų r. sav.,2007,11,0,46.3,36566.0,1493.0
Širvintų r. sav.,2007,11,0,30.6,18999.0,905.0
Švenčionių r. sav.,2007,11,1,55.9,30148.0,1691.0
Ukmergės r. sav.,2007,11,0,31.4,44350.0,1395.0
Vilniaus r. sav.,2007,11,3,39.6,93835.0,2129.0
Trakų r. sav.,2007,11,2,47.7,35907.0,1207.0
Alytaus apskritis,2007,12,0,49.1,173028.0,5418.0
Alytaus m. sav.,2007,12,0,31.8,66749.0,39.0
Druskininkų sav.,2007,12,0,69.2,23469.0,453.0
Alytaus r. sav.,2007,12,0,24.7,30281.0,1403.0
Lazdijų r. sav.,2007,12,0,34.9,24430.0,1306.0
Varėnos r. sav.,2007,12,0,69.1,28099.0,2216.0
Kauno apskritis,2007,12,8,29.6,650408.0,8087.0
Kauno m. sav.,2007,12,5,16.9,343932.0,157.0
Jonavos r. sav.,2007,12,0,41.9,49589.0,944.0
Kaišiadorių r. sav.,2007,12,0,31.5,35970.0,1087.0
Kauno r. sav.,2007,12,2,32.7,83346.0,1496.0
Kėdainių r. sav.,2007,12,0,25.6,59253.0,1677.0
Prienų r. sav.,2007,12,0,27.6,32421.0,1033.0
Raseinių r. sav.,2007,12,1,23.3,40996.0,1573.0
Klaipėdos apskritis,2007,12,2,26.5,360434.0,5222.0
Klaipėdos m. sav.,2007,12,2,20.6,175389.0,98.0
Palangos m. sav.,2007,12,0,39.9,16518.0,79.0
Klaipėdos r. sav.,2007,12,0,26.0,49293.0,1323.0
Kretingos r. sav.,2007,12,0,34.6,44187.0,989.0
Skuodo r. sav.,2007,12,0,19.8,22849.0,911.0
Šilutės r. sav.,2007,12,0,22.3,49994.0,1682.0
Marijampolės apskritis,2007,12,1,21.7,174810.0,4465.0
Marijampolės r. sav.,2007,12,1,,,
Šakių r. sav.,2007,12,0,22.9,35435.0,1454.0
Vilkaviškio r. sav.,2007,12,0,10.6,46239.0,1262.0
Panevėžio apskritis,2007,12,12,28.1,273701.0,7878.0
Panevėžio m. sav.,2007,12,6,2.7,108314.0,50.0
Biržų r. sav.,2007,12,0,27.6,31766.0,1476.0
Kupiškio r. sav.,2007,12,0,29.6,22509.0,1080.0
Panevėžio r. sav.,2007,12,4,35.1,41573.0,2177.0
Pasvalio r. sav.,2007,12,1,17.1,31230.0,1289.0
Rokiškio r. sav.,2007,12,1,28.0,38309.0,1806.0
Šiaulių apskritis,2007,12,5,27.3,335221.0,8537.0
Šiaulių m. sav.,2007,12,4,8.6,120272.0,82.0
Akmenės r. sav.,2007,12,0,32.4,26665.0,844.0
Joniškio r. sav.,2007,12,0,20.0,29083.0,1152.0
Kelmės r. sav.,2007,12,0,30.2,36488.0,1705.0
Radviliškio r. sav.,2007,12,0,25.3,47500.0,1634.0
Šiaulių r. sav.,2007,12,1,34.7,48624.0,1806.0
Tauragės apskritis,2007,12,2,33.0,121549.0,4408.0
Jurbarko r. sav.,2007,12,0,38.2,33692.0,1506.0
Šilalės r. sav.,2007,12,0,28.4,28930.0,1188.0
Tauragės r. sav.,2007,12,2,38.4,48119.0,1179.0
Telšių apskritis,2007,12,0,36.1,164963.0,4349.0
Mažeikių r. sav.,2007,12,0,29.5,62750.0,1220.0
Plungės r. sav.,2007,12,0,35.9,40961.0,1105.0
Telšių r. sav.,2007,12,0,34.7,51592.0,1439.0
Utenos apskritis,2007,12,2,32.8,167678.0,7191.0
Visagino sav.,2007,12,0,56.0,25897.0,58.0
Anykščių r. sav.,2007,12,2,30.6,31583.0,1764.0
Ignalinos r. sav.,2007,12,0,35.5,20368.0,1441.0
Molėtų r. sav.,2007,12,0,28.5,22671.0,1367.0
Utenos r. sav.,2007,12,0,31.8,46783.0,1230.0
Zarasų r. sav.,2007,12,0,37.2,20376.0,1331.0
Vilniaus apskritis,2007,12,13,42.0,828191.0,9730.0
Vilniaus m. sav.,2007,12,11,35.6,541732.0,400.0
Šalčininkų r. sav.,2007,12,0,46.3,36566.0,1493.0
Širvintų r. sav.,2007,12,0,30.6,18999.0,905.0
Švenčionių r. sav.,2007,12,0,55.9,30148.0,1691.0
Ukmergės r. sav.,2007,12,1,31.4,44350.0,1395.0
Vilniaus r. sav.,2007,12,1,39.6,93835.0,2129.0
Trakų r. sav.,2007,12,0,47.7,35907.0,1207.0
Alytaus apskritis,2008,1,0,49.1,170249.0,5418.0
Alytaus m. sav.,2008,1,0,31.8,65856.0,39.0
Druskininkų sav.,2008,1,0,69.2,23187.0,453.0
Alytaus r. sav.,2008,1,0,24.7,29773.0,1403.0
Lazdijų r. sav.,2008,1,0,34.9,23902.0,1306.0
Varėnos r. sav.,2008,1,0,69.1,27531.0,2216.0
Kauno apskritis,2008,1,1,29.6,643358.0,8087.0
Kauno m. sav.,2008,1,1,16.9,339535.0,157.0
Jonavos r. sav.,2008,1,0,41.9,49051.0,944.0
Kaišiadorių r. sav.,2008,1,0,31.5,35571.0,1087.0
Kauno r. sav.,2008,1,0,32.7,83946.0,1496.0
Kėdainių r. sav.,2008,1,0,25.5,58226.0,1677.0
Prienų r. sav.,2008,1,0,27.6,31807.0,1033.0
Raseinių r. sav.,2008,1,0,23.4,40361.0,1573.0
Klaipėdos apskritis,2008,1,0,26.5,357201.0,5222.0
Klaipėdos m. sav.,2008,1,0,20.6,172686.0,98.0
Palangos m. sav.,2008,1,0,39.9,16386.0,79.0
Klaipėdos r. sav.,2008,1,0,26.0,50488.0,1323.0
Kretingos r. sav.,2008,1,0,34.6,43786.0,989.0
Skuodo r. sav.,2008,1,0,19.8,22348.0,911.0
Šilutės r. sav.,2008,1,0,22.3,49207.0,1682.0
Marijampolės apskritis,2008,1,1,21.7,172200.0,4465.0
Marijampolės r. sav.,2008,1,1,,,
Šakių r. sav.,2008,1,0,22.9,34784.0,1454.0
Vilkaviškio r. sav.,2008,1,0,10.6,45488.0,1262.0
Panevėžio apskritis,2008,1,8,28.2,268815.0,7878.0
Panevėžio m. sav.,2008,1,3,2.2,106495.0,50.0
Biržų r. sav.,2008,1,1,27.2,30959.0,1476.0
Kupiškio r. sav.,2008,1,2,29.3,22052.0,1080.0
Panevėžio r. sav.,2008,1,2,34.8,41162.0,2177.0
Pasvalio r. sav.,2008,1,0,17.0,30598.0,1289.0
Rokiškio r. sav.,2008,1,0,29.0,37549.0,1806.0
Šiaulių apskritis,2008,1,1,27.3,328699.0,8537.0
Šiaulių m. sav.,2008,1,0,8.3,117829.0,82.0
Akmenės r. sav.,2008,1,0,32.4,25967.0,844.0
Joniškio r. sav.,2008,1,0,20.0,28543.0,1152.0
Kelmės r. sav.,2008,1,1,30.2,35602.0,1705.0
Radviliškio r. sav.,2008,1,0,25.4,46681.0,1634.0
Šiaulių r. sav.,2008,1,0,34.7,48124.0,1806.0
Tauragės apskritis,2008,1,1,33.0,119179.0,4408.0
Jurbarko r. sav.,2008,1,0,38.1,32954.0,1506.0
Šilalės r. sav.,2008,1,0,28.4,28439.0,1188.0
Tauragės r. sav.,2008,1,1,38.4,47318.0,1179.0
Telšių apskritis,2008,1,1,36.1,162431.0,4349.0
Mažeikių r. sav.,2008,1,0,29.5,61932.0,1220.0
Plungės r. sav.,2008,1,0,35.9,40473.0,1105.0
Telšių r. sav.,2008,1,1,34.7,50589.0,1439.0
Utenos apskritis,2008,1,3,33.3,164167.0,7191.0
Visagino sav.,2008,1,0,56.0,25232.0,58.0
Anykščių r. sav.,2008,1,0,32.2,30929.0,1764.0
Ignalinos r. sav.,2008,1,0,35.5,19838.0,1441.0
Molėtų r. sav.,2008,1,0,28.9,22221.0,1367.0
Utenos r. sav.,2008,1,3,31.8,46056.0,1230.0
Zarasų r. sav.,2008,1,0,37.3,19891.0,1331.0
Vilniaus apskritis,2008,1,13,42.4,826306.0,9730.0
Vilniaus m. sav.,2008,1,10,35.6,541596.0,400.0
Šalčininkų r. sav.,2008,1,0,46.3,36145.0,1493.0
Širvintų r. sav.,2008,1,0,33.3,18752.0,905.0
Švenčionių r. sav.,2008,1,1,55.9,29613.0,1691.0
Ukmergės r. sav.,2008,1,1,32.6,43643.0,1395.0
Vilniaus r. sav.,2008,1,1,39.7,94669.0,2129.0
Trakų r. sav.,2008,1,0,47.7,35550.0,1207.0
Alytaus apskritis,2008,2,1,49.1,170249.0,5418.0
Alytaus m. sav.,2008,2,0,31.8,65856.0,39.0
Druskininkų sav.,2008,2,0,69.2,23187.0,453.0
Alytaus r. sav.,2008,2,0,24.7,29773.0,1403.0
Lazdijų r. sav.,2008,2,1,34.9,23902.0,1306.0
Varėnos r. sav.,2008,2,0,69.1,27531.0,2216.0
Kauno apskritis,2008,2,3,29.6,643358.0,8087.0
Kauno m. sav.,2008,2,3,16.9,339535.0,157.0
Jonavos r. sav.,2008,2,0,41.9,49051.0,944.0
Kaišiadorių r. sav.,2008,2,0,31.5,35571.0,1087.0
Kauno r. sav.,2008,2,0,32.7,83946.0,1496.0
Kėdainių r. sav.,2008,2,0,25.5,58226.0,1677.0
Prienų r. sav.,2008,2,0,27.6,31807.0,1033.0
Raseinių r. sav.,2008,2,0,23.4,40361.0,1573.0
Klaipėdos apskritis,2008,2,1,26.5,357201.0,5222.0
Klaipėdos m. sav.,2008,2,0,20.6,172686.0,98.0
Palangos m. sav.,2008,2,1,39.9,16386.0,79.0
Klaipėdos r. sav.,2008,2,0,26.0,50488.0,1323.0
Kretingos r. sav.,2008,2,0,34.6,43786.0,989.0
Skuodo r. sav.,2008,2,0,19.8,22348.0,911.0
Šilutės r. sav.,2008,2,0,22.3,49207.0,1682.0
Marijampolės apskritis,2008,2,1,21.7,172200.0,4465.0
Marijampolės r. sav.,2008,2,1,,,
Šakių r. sav.,2008,2,0,22.9,34784.0,1454.0
Vilkaviškio r. sav.,2008,2,0,10.6,45488.0,1262.0
Panevėžio apskritis,2008,2,6,28.2,268815.0,7878.0
Panevėžio m. sav.,2008,2,6,2.2,106495.0,50.0
Biržų r. sav.,2008,2,0,27.2,30959.0,1476.0
Kupiškio r. sav.,2008,2,0,29.3,22052.0,1080.0
Panevėžio r. sav.,2008,2,0,34.8,41162.0,2177.0
Pasvalio r. sav.,2008,2,0,17.0,30598.0,1289.0
Rokiškio r. sav.,2008,2,0,29.0,37549.0,1806.0
Šiaulių apskritis,2008,2,0,27.3,328699.0,8537.0
Šiaulių m. sav.,2008,2,0,8.3,117829.0,82.0
Akmenės r. sav.,2008,2,0,32.4,25967.0,844.0
Joniškio r. sav.,2008,2,0,20.0,28543.0,1152.0
Kelmės r. sav.,2008,2,0,30.2,35602.0,1705.0
Radviliškio r. sav.,2008,2,0,25.4,46681.0,1634.0
Šiaulių r. sav.,2008,2,0,34.7,48124.0,1806.0
Tauragės apskritis,2008,2,0,33.0,119179.0,4408.0
Jurbarko r. sav.,2008,2,0,38.1,32954.0,1506.0
Šilalės r. sav.,2008,2,0,28.4,28439.0,1188.0
Tauragės r. sav.,2008,2,0,38.4,47318.0,1179.0
Telšių apskritis,2008,2,2,36.1,162431.0,4349.0
Mažeikių r. sav.,2008,2,0,29.5,61932.0,1220.0
Plungės r. sav.,2008,2,0,35.9,40473.0,1105.0
Telšių r. sav.,2008,2,2,34.7,50589.0,1439.0
Utenos apskritis,2008,2,0,33.3,164167.0,7191.0
Visagino sav.,2008,2,0,56.0,25232.0,58.0
Anykščių r. sav.,2008,2,0,32.2,30929.0,1764.0
Ignalinos r. sav.,2008,2,0,35.5,19838.0,1441.0
Molėtų r. sav.,2008,2,0,28.9,22221.0,1367.0
Utenos r. sav.,2008,2,0,31.8,46056.0,1230.0
Zarasų r. sav.,2008,2,0,37.3,19891.0,1331.0
Vilniaus apskritis,2008,2,9,42.4,826306.0,9730.0
Vilniaus m. sav.,2008,2,8,35.6,541596.0,400.0
Šalčininkų r. sav.,2008,2,0,46.3,36145.0,1493.0
Širvintų r. sav.,2008,2,0,33.3,18752.0,905.0
Švenčionių r. sav.,2008,2,1,55.9,29613.0,1691.0
Ukmergės r. sav.,2008,2,0,32.6,43643.0,1395.0
Vilniaus r. sav.,2008,2,0,39.7,94669.0,2129.0
Trakų r. sav.,2008,2,0,47.7,35550.0,1207.0
Alytaus apskritis,2008,3,1,49.1,170249.0,5418.0
Alytaus m. sav.,2008,3,1,31.8,65856.0,39.0
Druskininkų sav.,2008,3,0,69.2,23187.0,453.0
Alytaus r. sav.,2008,3,0,24.7,29773.0,1403.0
Lazdijų r. sav.,2008,3,0,34.9,23902.0,1306.0
Varėnos r. sav.,2008,3,0,69.1,27531.0,2216.0
Kauno apskritis,2008,3,1,29.6,643358.0,8087.0
Kauno m. sav.,2008,3,0,16.9,339535.0,157.0
Jonavos r. sav.,2008,3,0,41.9,49051.0,944.0
Kaišiadorių r. sav.,2008,3,0,31.5,35571.0,1087.0
Kauno r. sav.,2008,3,1,32.7,83946.0,1496.0
Kėdainių r. sav.,2008,3,0,25.5,58226.0,1677.0
Prienų r. sav.,2008,3,0,27.6,31807.0,1033.0
Raseinių r. sav.,2008,3,0,23.4,40361.0,1573.0
Klaipėdos apskritis,2008,3,0,26.5,357201.0,5222.0
Klaipėdos m. sav.,2008,3,0,20.6,172686.0,98.0
Palangos m. sav.,2008,3,0,39.9,16386.0,79.0
Klaipėdos r. sav.,2008,3,0,26.0,50488.0,1323.0
Kretingos r. sav.,2008,3,0,34.6,43786.0,989.0
Skuodo r. sav.,2008,3,0,19.8,22348.0,911.0
Šilutės r. sav.,2008,3,0,22.3,49207.0,1682.0
Marijampolės apskritis,2008,3,0,21.7,172200.0,4465.0
Marijampolės r. sav.,2008,3,0,,,
Šakių r. sav.,2008,3,0,22.9,34784.0,1454.0
Vilkaviškio r. sav.,2008,3,0,10.6,45488.0,1262.0
Panevėžio apskritis,2008,3,3,28.2,268815.0,7878.0
Panevėžio m. sav.,2008,3,2,2.2,106495.0,50.0
Biržų r. sav.,2008,3,0,27.2,30959.0,1476.0
Kupiškio r. sav.,2008,3,0,29.3,22052.0,1080.0
Panevėžio r. sav.,2008,3,1,34.8,41162.0,2177.0
Pasvalio r. sav.,2008,3,0,17.0,30598.0,1289.0
Rokiškio r. sav.,2008,3,0,29.0,37549.0,1806.0
Šiaulių apskritis,2008,3,1,27.3,328699.0,8537.0
Šiaulių m. sav.,2008,3,0,8.3,117829.0,82.0
Akmenės r. sav.,2008,3,0,32.4,25967.0,844.0
Joniškio r. sav.,2008,3,0,20.0,28543.0,1152.0
Kelmės r. sav.,2008,3,1,30.2,35602.0,1705.0
Radviliškio r. sav.,2008,3,0,25.4,46681.0,1634.0
Šiaulių r. sav.,2008,3,0,34.7,48124.0,1806.0
Tauragės apskritis,2008,3,0,33.0,119179.0,4408.0
Jurbarko r. sav.,2008,3,0,38.1,32954.0,1506.0
Šilalės r. sav.,2008,3,0,28.4,28439.0,1188.0
Tauragės r. sav.,2008,3,0,38.4,47318.0,1179.0
Telšių apskritis,2008,3,0,36.1,162431.0,4349.0
Mažeikių r. sav.,2008,3,0,29.5,61932.0,1220.0
Plungės r. sav.,2008,3,0,35.9,40473.0,1105.0
Telšių r. sav.,2008,3,0,34.7,50589.0,1439.0
Utenos apskritis,2008,3,3,33.3,164167.0,7191.0
Visagino sav.,2008,3,0,56.0,25232.0,58.0
Anykščių r. sav.,2008,3,2,32.2,30929.0,1764.0
Ignalinos r. sav.,2008,3,0,35.5,19838.0,1441.0
Molėtų r. sav.,2008,3,0,28.9,22221.0,1367.0
Utenos r. sav.,2008,3,0,31.8,46056.0,1230.0
Zarasų r. sav.,2008,3,1,37.3,19891.0,1331.0
Vilniaus apskritis,2008,3,26,42.4,826306.0,9730.0
Vilniaus m. sav.,2008,3,23,35.6,541596.0,400.0
Šalčininkų r. sav.,2008,3,0,46.3,36145.0,1493.0
Širvintų r. sav.,2008,3,0,33.3,18752.0,905.0
Švenčionių r. sav.,2008,3,1,55.9,29613.0,1691.0
Ukmergės r. sav.,2008,3,0,32.6,43643.0,1395.0
Vilniaus r. sav.,2008,3,2,39.7,94669.0,2129.0
Trakų r. sav.,2008,3,0,47.7,35550.0,1207.0
Alytaus apskritis,2008,4,1,49.1,170249.0,5418.0
Alytaus m. sav.,2008,4,1,31.8,65856.0,39.0
Druskininkų sav.,2008,4,0,69.2,23187.0,453.0
Alytaus r. sav.,2008,4,0,24.7,29773.0,1403.0
Lazdijų r. sav.,2008,4,0,34.9,23902.0,1306.0
Varėnos r. sav.,2008,4,0,69.1,27531.0,2216.0
Kauno apskritis,2008,4,6,29.6,643358.0,8087.0
Kauno m. sav.,2008,4,5,16.9,339535.0,157.0
Jonavos r. sav.,2008,4,0,41.9,49051.0,944.0
Kaišiadorių r. sav.,2008,4,0,31.5,35571.0,1087.0
Kauno r. sav.,2008,4,1,32.7,83946.0,1496.0
Kėdainių r. sav.,2008,4,0,25.5,58226.0,1677.0
Prienų r. sav.,2008,4,0,27.6,31807.0,1033.0
Raseinių r. sav.,2008,4,0,23.4,40361.0,1573.0
Klaipėdos apskritis,2008,4,0,26.5,357201.0,5222.0
Klaipėdos m. sav.,2008,4,0,20.6,172686.0,98.0
Palangos m. sav.,2008,4,0,39.9,16386.0,79.0
Klaipėdos r. sav.,2008,4,0,26.0,50488.0,1323.0
Kretingos r. sav.,2008,4,0,34.6,43786.0,989.0
Skuodo r. sav.,2008,4,0,19.8,22348.0,911.0
Šilutės r. sav.,2008,4,0,22.3,49207.0,1682.0
Marijampolės apskritis,2008,4,0,21.7,172200.0,4465.0
Marijampolės r. sav.,2008,4,0,,,
Šakių r. sav.,2008,4,0,22.9,34784.0,1454.0
Vilkaviškio r. sav.,2008,4,0,10.6,45488.0,1262.0
Panevėžio apskritis,2008,4,5,28.2,268815.0,7878.0
Panevėžio m. sav.,2008,4,5,2.2,106495.0,50.0
Biržų r. sav.,2008,4,0,27.2,30959.0,1476.0
Kupiškio r. sav.,2008,4,0,29.3,22052.0,1080.0
Panevėžio r. sav.,2008,4,0,34.8,41162.0,2177.0
Pasvalio r. sav.,2008,4,0,17.0,30598.0,1289.0
Rokiškio r. sav.,2008,4,0,29.0,37549.0,1806.0
Šiaulių apskritis,2008,4,1,27.3,328699.0,8537.0
Šiaulių m. sav.,2008,4,0,8.3,117829.0,82.0
Akmenės r. sav.,2008,4,0,32.4,25967.0,844.0
Joniškio r. sav.,2008,4,0,20.0,28543.0,1152.0
Kelmės r. sav.,2008,4,1,30.2,35602.0,1705.0
Radviliškio r. sav.,2008,4,0,25.4,46681.0,1634.0
Šiaulių r. sav.,2008,4,0,34.7,48124.0,1806.0
Tauragės apskritis,2008,4,0,33.0,119179.0,4408.0
Jurbarko r. sav.,2008,4,0,38.1,32954.0,1506.0
Šilalės r. sav.,2008,4,0,28.4,28439.0,1188.0
Tauragės r. sav.,2008,4,0,38.4,47318.0,1179.0
Telšių apskritis,2008,4,1,36.1,162431.0,4349.0
Mažeikių r. sav.,2008,4,0,29.5,61932.0,1220.0
Plungės r. sav.,2008,4,0,35.9,40473.0,1105.0
Telšių r. sav.,2008,4,1,34.7,50589.0,1439.0
Utenos apskritis,2008,4,2,33.3,164167.0,7191.0
Visagino sav.,2008,4,0,56.0,25232.0,58.0
Anykščių r. sav.,2008,4,0,32.2,30929.0,1764.0
Ignalinos r. sav.,2008,4,0,35.5,19838.0,1441.0
Molėtų r. sav.,2008,4,1,28.9,22221.0,1367.0
Utenos r. sav.,2008,4,0,31.8,46056.0,1230.0
Zarasų r. sav.,2008,4,1,37.3,19891.0,1331.0
Vilniaus apskritis,2008,4,9,42.4,826306.0,9730.0
Vilniaus m. sav.,2008,4,9,35.6,541596.0,400.0
Šalčininkų r. sav.,2008,4,0,46.3,36145.0,1493.0
Širvintų r. sav.,2008,4,0,33.3,18752.0,905.0
Švenčionių r. sav.,2008,4,0,55.9,29613.0,1691.0
Ukmergės r. sav.,2008,4,0,32.6,43643.0,1395.0
Vilniaus r. sav.,2008,4,0,39.7,94669.0,2129.0
Trakų r. sav.,2008,4,0,47.7,35550.0,1207.0
Alytaus apskritis,2008,5,3,49.1,170249.0,5418.0
Alytaus m. sav.,2008,5,2,31.8,65856.0,39.0
Druskininkų sav.,2008,5,0,69.2,23187.0,453.0
Alytaus r. sav.,2008,5,0,24.7,29773.0,1403.0
Lazdijų r. sav.,2008,5,1,34.9,23902.0,1306.0
Varėnos r. sav.,2008,5,0,69.1,27531.0,2216.0
Kauno apskritis,2008,5,15,29.6,643358.0,8087.0
Kauno m. sav.,2008,5,12,16.9,339535.0,157.0
Jonavos r. sav.,2008,5,0,41.9,49051.0,944.0
Kaišiadorių r. sav.,2008,5,1,31.5,35571.0,1087.0
Kauno r. sav.,2008,5,2,32.7,83946.0,1496.0
Kėdainių r. sav.,2008,5,0,25.5,58226.0,1677.0
Prienų r. sav.,2008,5,0,27.6,31807.0,1033.0
